title,date,make,year,price,VIN,fuel,odometer,cylinders,paint color,title status,transmission,type,link
Mitsubishi lancer,2017-09-03 17:36,mitsubishi,NOT INDICATED,$7500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,lien,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/mitsubishi-lancer/6292035972.html
1995 BMW 325is - e36,2017-09-03 17:36,bmw,1995,$5100,NOT INDICATED,gas,126516,6 cylinders,black,clean,automatic,coupe,https://sacramento.craigslist.org/cto/d/1995-bmw-325is-e36/6292035927.html
93 lexus sc 300,2017-09-03 17:36,lexus,1993,$1000,NOT INDICATED,gas,195000,6 cylinders,black,clean,automatic,coupe,https://sacramento.craigslist.org/cto/d/93-lexus-sc-300/6292035912.html
2001 Chevy Tahoe LT,2017-09-03 17:35,chevy,2001,$2500,NOT INDICATED,gas,182200,8 cylinders,black,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2001-chevy-tahoe-lt/6292034909.html
CLEAN TITLE 2008 HONDA CIVIC  3 MONTH WARRANTY,2017-09-03 17:35,honda,2008,$5850,2HGFA16548H527287,gas,144343,4 cylinders,grey,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/clean-title-2008-honda-civic/6292034520.html
98 Nissan Sentra,2017-09-03 17:35,nissan,1998,$600,NOT INDICATED,gas,NOT INDICATED,4 cylinders,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/98-nissan-sentra/6292034440.html
Lifted Chevrolet silverado,2017-09-03 17:34,chevrolet,NOT INDICATED,$25000,NOT INDICATED,gas,750000,8 cylinders,white,clean,automatic,truck,https://sacramento.craigslist.org/cto/d/lifted-chevrolet-silverado/6292025775.html
Rare 2013 Chrysler 300c John Varvatos Luxury Edition,2017-09-03 17:34,chrysler,2013,$20500,NOT INDICATED,gas,78500,8 cylinders,grey,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/rare-2013-chrysler-300c-john/6292033829.html
Toyota Celica GTS,2017-09-03 17:33,toyota,NOT INDICATED,$2999,NOT INDICATED,gas,200000,4 cylinders,red,clean,other,hatchback,https://sacramento.craigslist.org/cto/d/toyota-celica-gts/6292033033.html
2005 BMW 325i,2017-09-03 17:30,bmw,2005,$5100,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2005-bmw-325i/6292030912.html
1999 Ford F250 XLT 7.3L 102K,2017-09-03 17:29,ford,1999,$27000,NOT INDICATED,diesel,102500,8 cylinders,brown,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1999-ford-f250-xlt-73l-102k/6292030086.html
99 Cadillac Escalade,2017-09-03 17:29,cadillac,1999,$1800,1gyek13r6xr412469,gas,166268,8 cylinders,black,salvage,automatic,SUV,https://sacramento.craigslist.org/cto/d/99-cadillac-escalade/6292029760.html
99 Toyota Camry Le  clean title good running car,2017-09-03 17:28,toyota,1999,$1999,NOT INDICATED,gas,197100,4 cylinders,NOT INDICATED,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/99-toyota-camry-le-clean/6292028512.html
2007 Toyota Corolla S,2017-09-03 17:27,toyota,2007,$4500,NOT INDICATED,gas,174000,4 cylinders,grey,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2007-toyota-corolla/6292028230.html
Toyota sienna limited,2017-09-03 17:26,toyota,NOT INDICATED,$20000,NOT INDICATED,gas,39400,6 cylinders,white,salvage,automatic,mini-van,https://sacramento.craigslist.org/cto/d/toyota-sienna-limited/6271234346.html
2010 Ford Focus SE Super Clean & Must See! -CALL FOR APPROVAL ?,2017-09-03 17:25,ford,2010,$5999,1FAHP3FN8AW293377,other,130156,NOT INDICATED,silver,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/2010-ford-focus-se-super/6292026361.html
"2001 Toyota Avalon xls $2350obo,clk e320 solara civic camry maxima",2017-09-03 17:25,toyota,2001,$23,NOT INDICATED,gas,190,6 cylinders,black,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2001-toyota-avalon-xls/6289810634.html
2000 Volvo v70 XC Cross country   Clean title  Volvo wagon,2017-09-03 17:24,volvo,2000,$3300,NOT INDICATED,gas,104,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2000-volvo-v70-xc-cross/6270650294.html
2008 Infinity M35,2017-09-03 17:23,NOT INDICATED,2008,$8500,NOT INDICATED,gas,142000,6 cylinders,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2008-infinity-m35/6292025129.html
? 2016 Nissan Frontier  SV,2017-09-03 17:22,nissan,2016,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,https://sacramento.craigslist.org/ctd/d/2016-nissan-frontier-sv/6292024293.html
ES 300 Lexus 2001,2017-09-03 17:21,lexus,2000,$1475,NOT INDICATED,gas,195000,6 cylinders,black,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/es-300-lexus-2001/6292023412.html
2015 Nissan Altima SL,2017-09-03 17:21,nissan,2015,$15000,NOT INDICATED,gas,17316,4 cylinders,silver,salvage,automatic,sedan,https://sacramento.craigslist.org/cto/d/2015-nissan-altima-sl/6277548248.html
1999 GrandAM Pontiac SE (mechanic special / as is ),2017-09-03 17:21,pontiac,1999,$1180,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1999-grandam-pontiac-se/6288328750.html
1989 chevy s10 pick up,2017-09-03 17:20,chevy,1989,$800,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1989-chevy-s10-pick-up/6292022326.html
1999 GrandAM Pontiac SE (mechanic special / as is ),2017-09-03 17:20,pontiac,1999,$1250,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1999-grandam-pontiac-se/6261206315.html
2013 Nissan Xterra S Sport Utility 4D,2017-09-03 17:19,nissan,2013,$15595,5N1AN0NW9DN813957,other,109220,NOT INDICATED,NOT INDICATED,clean,automatic,SUV,https://sacramento.craigslist.org/ctd/d/2013-nissan-xterra-sport/6292021575.html
Great car tagged up and ready to go,2017-09-03 17:19,NOT INDICATED,NOT INDICATED,$1700,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,white,clean,automatic,other,https://sacramento.craigslist.org/cto/d/great-car-tagged-up-and-ready/6292021188.html
1977 Jeep CJ-5 Renegade,2017-09-03 17:19,jeep,1977,$7500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1977-jeep-cj-5-renegade/6269555855.html
2014 Ram 2500 Laramie ***No Hassle. No Pressure. EVER***,2017-09-03 17:19,ram,2014,$48000,3C6UR5FL3EG319943,diesel,48562,NOT INDICATED,NOT INDICATED,clean,automatic,truck,https://sacramento.craigslist.org/ctd/d/2014-ram-2500-laramie-no/6292021175.html
1969 MUSTANG FASTBACK,2017-09-03 17:19,Ford,1969,NOT INDICATED,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1969-mustang-fastback/6292020963.html
"2001 Avalon xls v6 $2350obo,sc400 regal gtp z28 i35 tahoe slk",2017-09-03 17:18,NOT INDICATED,2001,$23,NOT INDICATED,gas,190000,6 cylinders,black,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2001-avalon-xls-v6/6291426061.html
2008 Toyota Tundra SR5 with camper,2017-09-03 17:18,toyota,2008,$18500,NOT INDICATED,gas,79988,8 cylinders,brown,clean,automatic,truck,https://sacramento.craigslist.org/cto/d/2008-toyota-tundra-sr5-with/6291997670.html
1973 Volkswagen Super Beetle,2017-09-03 17:18,volkswagen,1973,$3900,NOT INDICATED,gas,NOT INDICATED,4 cylinders,white,clean,manual,coupe,https://sacramento.craigslist.org/cto/d/1973-volkswagen-super-beetle/6292020405.html
63 Plymouth belveder 3400obo,2017-09-03 17:15,plymouth,1963,$3400,NOT INDICATED,gas,NOT INDICATED,8 cylinders,green,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/63-plymouth-belveder-3400obo/6292018099.html
Bmw 335,2017-09-03 17:14,bmw,NOT INDICATED,$13500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/bmw-335/6292017280.html
FORD F150 Super Crew Cab  Lariat,2017-09-03 17:14,ford,1950,$7500,NOT INDICATED,gas,182321,8 cylinders,custom,rebuilt,automatic,truck,https://sacramento.craigslist.org/cto/d/ford-f150-super-crew-cab/6292016725.html
2014 Volkswagen Jetta,2017-09-03 17:12,volkswagen,2014,$11600,NOT INDICATED,gas,23000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2014-volkswagen-jetta/6265794795.html
Acura rl,2017-09-03 17:11,acura,NOT INDICATED,$1000,NOT INDICATED,gas,185000,6 cylinders,brown,salvage,manual,sedan,https://sacramento.craigslist.org/cto/d/acura-rl/6292014996.html
2007 Honda Accord Coupe,2017-09-03 17:11,honda,2007,$7600,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2007-honda-accord-coupe/6291998360.html
Clean Title 2004 Toyota Sienna XLE Clean Carfax,2017-09-03 17:11,toyota,2004,$5950,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,https://sacramento.craigslist.org/ctd/d/clean-title-2004-toyota/6292014663.html
1991 F-150 4X4,2017-09-03 17:11,NOT INDICATED,1991,$4000,NOT INDICATED,gas,69520,8 cylinders,brown,clean,automatic,pickup,https://sacramento.craigslist.org/cto/d/x4/6292014403.html
01 jeep grand Cherokee limited,2017-09-03 17:10,jeep,2001,$2800,NOT INDICATED,gas,168000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/01-jeep-grand-cherokee-limited/6292013854.html
2000 HONDA ODYESSY CLEAN TITLE,2017-09-03 17:09,honda,2000,$2000,NOT INDICATED,gas,188000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2000-honda-odyessy-clean-title/6291988073.html
2008 Mazda Mazda3 s Sport,2017-09-03 17:09,mazda,2008,$7495,JM1BK344681777306,other,145553,NOT INDICATED,white,clean,automatic,hatchback,https://sacramento.craigslist.org/ctd/d/2008-mazda-mazda3-sport/6292013417.html
2004 f250,2017-09-03 17:09,NOT INDICATED,2004,$15000,1ftnw21p74e,diesel,NOT INDICATED,8 cylinders,white,clean,automatic,pickup,https://sacramento.craigslist.org/cto/d/2004-f250/6292013140.html
Toyota Camry 2001,2017-09-03 17:09,toyota,2001,$1850,4T1BG22k51U116704,gas,181000,4 cylinders,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/toyota-camry-2001/6292013076.html
2003 Toyota Tundra 4x4 SR5,2017-09-03 17:08,toyota,2003,$9500,NOT INDICATED,gas,187000,8 cylinders,silver,clean,automatic,truck,https://sacramento.craigslist.org/cto/d/2003-toyota-tundra-4x4-sr5/6292012502.html
2015 Toyota RAV4,2017-09-03 17:08,toyota,2015,$19700,NOT INDICATED,gas,50000,4 cylinders,black,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/2015-toyota-rav4/6292004738.html
Mdx,2017-09-03 17:08,NOT INDICATED,NOT INDICATED,$3000,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,black,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/mdx/6292012077.html
1984 DODGE RAMPAGE,2017-09-03 17:08,dodge,1984,$3000,NOT INDICATED,gas,NOT INDICATED,4 cylinders,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1984-dodge-rampage/6284313988.html
2001 Ford Explorer  V8   AWD   Limited,2017-09-03 17:08,ford,2001,$3600,NOT INDICATED,gas,158000,8 cylinders,blue,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/2001-ford-explorer-v8-awd/6254374291.html
? 2015 Nissan Rogue Select  Select S,2017-09-03 17:08,nissan,2015,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,https://sacramento.craigslist.org/ctd/d/2015-nissan-rogue-select/6292011854.html
2008 Z51 Corvette LS3 Manual Loaded,2017-09-03 17:07,NOT INDICATED,2008,$25500,NOT INDICATED,gas,84500,8 cylinders,blue,clean,manual,coupe,https://sacramento.craigslist.org/cto/d/2008-z51-corvette-ls3-manual/6292011587.html
1983 Mercedes-Benz S-Class 380-Class 380 SL ALL CREDITS WELCOME,2017-09-03 17:05,mercedes-benz,1983,$5999,WDBBA45A3DB023957,other,154468,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/ctd/d/1983-mercedes-benz-class-380/6292009396.html
Dodge Caliber,2017-09-03 17:05,dodge,NOT INDICATED,$7995,NOT INDICATED,gas,89000,4 cylinders,black,salvage,automatic,hatchback,https://sacramento.craigslist.org/cto/d/dodge-caliber/6255904667.html
2008 HYUNDAI ELANTRA GLS,2017-09-03 17:04,hyundai,2008,$5999,KMHDU46D18U303053,gas,96492,NOT INDICATED,silver,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/2008-hyundai-elantra-gls/6292009197.html
"I'm looking for a small or large pickup up to 5,000 have cash",2017-09-03 17:04,NOT INDICATED,2000,$5000,NOT INDICATED,other,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,other,NOT INDICATED,https://sacramento.craigslist.org/cto/d/im-looking-for-small-or-large/6292008830.html
1962 Cadillac Coupe DeVille,2017-09-03 17:04,cadillac,1962,$1500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,parts only,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1962-cadillac-coupe-deville/6291985725.html
"59 Ford Edsel, classic low rider rat rod",2017-09-03 17:04,ford,1959,$3000,W9US730330,gas,62000,8 cylinders,blue,clean,automatic,coupe,https://sacramento.craigslist.org/cto/d/59-ford-edsel-classic-low/6292008494.html
2010 Toyota RAV4 Base 4x4 4dr SUV **Everyone Is Approved**,2017-09-03 17:03,toyota,2010,$9988,JTMBF4DV2AD025318,other,130767,NOT INDICATED,black,clean,automatic,SUV,https://sacramento.craigslist.org/ctd/d/2010-toyota-rav4-base-4x4-4dr/6292008291.html
2003 Dodge Dually diesel,2017-09-03 17:02,dodge,2003,$14000,NOT INDICATED,diesel,145000,NOT INDICATED,blue,clean,automatic,pickup,https://sacramento.craigslist.org/cto/d/2003-dodge-dually-diesel/6292007314.html
2006 Mercedes  - 80k miles - Your job is your credit,2017-09-03 17:02,NOT INDICATED,2006,$7499,WDBRF52H96A826224,gas,81000,6 cylinders,white,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/2006-mercedes-80k-miles-your/6292006795.html
1955 chevy bel air,2017-09-03 17:01,chevy,1955,$27000,NOT INDICATED,gas,NOT INDICATED,8 cylinders,NOT INDICATED,clean,automatic,coupe,https://sacramento.craigslist.org/cto/d/1955-chevy-bel-air/6281738249.html
2004 Chevy Trailblazer LT,2017-09-03 17:01,chevy,2004,$3500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2004-chevy-trailblazer-lt/6287283521.html
Storage container trailer box,2017-09-03 17:01,NOT INDICATED,NOT INDICATED,$900,NOT INDICATED,other,NOT INDICATED,NOT INDICATED,NOT INDICATED,parts only,other,NOT INDICATED,https://sacramento.craigslist.org/cto/d/storage-container-trailer-box/6285306518.html
62 Chevy Nova Hot Rod,2017-09-03 17:00,chevy,1962,$25000,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,rebuilt,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/62-chevy-nova-hot-rod/6292005564.html
2007 VW Passat 2.0 Wagon clean title,2017-09-03 17:00,vw,2007,$4200,NOT INDICATED,gas,118300,4 cylinders,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2007-vw-passat-20-wagon-clean/6291981274.html
Clean Title 2008 Honda Odyssey EX-L  3MONTH WARRANTY,2017-09-03 16:59,honda,2008,$5750,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,https://sacramento.craigslist.org/ctd/d/clean-title-2008-honda/6292004868.html
94 lexus ls 400,2017-09-03 16:59,lexus,1994,$2800,NOT INDICATED,gas,131583,NOT INDICATED,NOT INDICATED,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/94-lexus-ls-400/6292004599.html
2007 Suburban,2017-09-03 16:59,NOT INDICATED,2007,$18500,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2007-suburban/6292004518.html
2007 Toyota Sienna LE,2017-09-03 16:58,toyota,2007,$7100,NOT INDICATED,gas,116,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2007-toyota-sienna-le/6282388949.html
2003 Ford E250 Moto Van,2017-09-03 16:57,ford,2003,$8000,NOT INDICATED,gas,143,8 cylinders,white,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2003-ford-e250-moto-van/6292002989.html
Project car - - 1965 Ford Ranchero,2017-09-03 16:56,ford,1965,$1400,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,other,NOT INDICATED,https://sacramento.craigslist.org/cto/d/project-car-1965-ford-ranchero/6292001678.html
Nice Lifted 2003 Chevy Silverado 1500 4x4 with Extras,2017-09-03 16:56,chevy,2003,$8700,NOT INDICATED,gas,NOT INDICATED,8 cylinders,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/nice-lifted-2003-chevy/6292001565.html
"1970 FORD MUSTANG COUPE,   4SPEED",2017-09-03 16:55,Ford,1970,$12,NOT INDICATED,gas,NOT INDICATED,8 cylinders,blue,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1970-ford-mustang-coupe-4speed/6292000849.html
2006 Acura TSX 4dr Sdn MT Navi,2017-09-03 16:55,acura,2006,NOT INDICATED,JH4CL95946C028924,gas,140481,NOT INDICATED,black,clean,other,sedan,https://sacramento.craigslist.org/ctd/d/2006-acura-tsx-4dr-sdn-mt-navi/6292000689.html
1996 honda civic ex (trade),2017-09-03 16:54,honda,1996,$1500,NOT INDICATED,gas,295000,NOT INDICATED,NOT INDICATED,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1996-honda-civic-ex-trade/6271650179.html
2003 Toyota 4Runner 4x4 (trade),2017-09-03 16:54,toyota,2003,$9000,NOT INDICATED,gas,213000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2003-toyota-4runner-4x4-trade/6271648150.html
? 2017 Nissan Titan  Platinum Reserve,2017-09-03 16:53,nissan,2017,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,NOT INDICATED,https://sacramento.craigslist.org/ctd/d/2017-nissan-titan-platinum/6291998947.html
2005 Mercedes e320,2017-09-03 16:52,NOT INDICATED,2005,$8500,NOT INDICATED,gas,135000,8 cylinders,white,clean,automatic,sedan,https://sacramento.craigslist.org/cto/d/2005-mercedes-e320/6291998653.html
CLEAN TITLE 2000 BMW Z3  3 MONTH WARRANTY,2017-09-03 16:52,bmw,2000,$4500,4USCH9343YLG02746,gas,137112,6 cylinders,black,clean,automatic,convertible,https://sacramento.craigslist.org/ctd/d/clean-title-2000-bmw-z3-3/6291998714.html
Honda Pilot 2014 EX-L,2017-09-03 16:52,honda,2014,$28000,NOT INDICATED,gas,30000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/honda-pilot-2014-ex/6252991542.html
1996 Lexus ES300- Full Loaded - Excellent Condition Make Offer!,2017-09-03 16:52,lexus,1996,$2000,jt8bf12g2t0157104,gas,235000,4 cylinders,white,salvage,automatic,sedan,https://sacramento.craigslist.org/cto/d/1996-lexus-es300-full-loaded/6261953428.html
CLEAN TITLE 2004 TOYOTA SIENNA XLE LOW MILES,2017-09-03 16:51,toyota,2004,$5699,5TDZA22C74S154196,gas,147223,6 cylinders,grey,clean,automatic,mini-van,https://sacramento.craigslist.org/ctd/d/clean-title-2004-toyota/6291997573.html
CLEAN TITLE 2005 ACURA RSX TYPE S 3 MONTH WARRANTY,2017-09-03 16:51,acura,2005,$5850,JH4DC53095S006004,gas,161112,4 cylinders,grey,clean,manual,coupe,https://sacramento.craigslist.org/ctd/d/clean-title-2005-acura-rsx/6291997104.html
Ram 1500 Crew Cab 4x4,2017-09-03 16:51,ram,1500,$30000,1C6RR7KG1GS386935,gas,8650,6 cylinders,silver,clean,automatic,truck,https://sacramento.craigslist.org/cto/d/ram-1500-crew-cab-4x4/6273088086.html
CLEAN TITLE 2005 NISSAN 350Z 3 MONTH WARRANTY,2017-09-03 16:50,nissan,2005,$6650,JN1AZ36A45M753884,gas,127223,6 cylinders,white,clean,automatic,convertible,https://sacramento.craigslist.org/ctd/d/clean-title-2005-nissan-350z/6291996726.html
CLEAN TITLE 2007 MINI COOPER S  3 MONTH WARRANTY,2017-09-03 16:49,mini,2007,NOT INDICATED,WMWMF73507TT85467,gas,103723,4 cylinders,blue,clean,manual,hatchback,https://sacramento.craigslist.org/ctd/d/clean-title-2007-mini-cooper/6291996049.html
CLEAN TITLE 2005 HONDA CIVIC LX 3 MONTH WARRANTY,2017-09-03 16:48,honda,2005,$4350,2HGES16335H578590,gas,115223,4 cylinders,blue,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/clean-title-2005-honda-civic/6291995271.html
2013 Ford Fusion SE,2017-09-03 16:48,ford,2013,$11988,3FA6P0H73DR362794,other,79774,NOT INDICATED,black,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/2013-ford-fusion-se/6291995283.html
1996 Mustang GT convertible Smogged Tagged until 2018 clean title,2017-09-03 16:48,Ford,1996,$2500,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,custom,clean,manual,NOT INDICATED,https://sacramento.craigslist.org/cto/d/1996-mustang-gt-convertible/6291995012.html
CLEAN TITLE 2008 KIA SPECTRA 3 MONTH WARRANTY,2017-09-03 16:48,kia,2008,$3999,KNAFE122885583980,gas,122195,5 cylinders,black,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/clean-title-2008-kia-spectra/6291994608.html
2014 Nissan Altima S $8000 or best offer,2017-09-03 16:47,nissan,2014,$8000,NOT INDICATED,gas,77000,4 cylinders,red,salvage,automatic,sedan,https://sacramento.craigslist.org/cto/d/2014-nissan-altima-8000-or/6291980882.html
CLEAN TITLE 2006 HONDA ACCORD EXL 3 MONTH WARRANTY,2017-09-03 16:47,honda,2006,$5499,1HGCM56806A178197,gas,150997,4 cylinders,silver,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/clean-title-2006-honda-accord/6291994036.html
Darling White 2006 Volvo,2017-09-03 16:46,volvo,2006,$5000,NOT INDICATED,gas,102000,NOT INDICATED,white,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/darling-white-2006-volvo/6291993340.html
CLEAN TITLE 2009 MITSUBISHI GALANT  3 MONTH WARRANTY,2017-09-03 16:46,mitsubishi,2009,$4500,4A3AB36F59E015120,gas,105223,6 cylinders,white,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/clean-title-2009-mitsubishi/6291993345.html
2001 Mitsubishi montero sport VERY GOOD!!!,2017-09-03 16:46,mitsubishi,2001,$2300,NOT INDICATED,gas,161000,6 cylinders,black,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2001-mitsubishi-montero-sport/6282928807.html
2010 honda insight ex,2017-09-03 16:46,honda,2010,$7500,NOT INDICATED,gas,58000,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2010-honda-insight-ex/6275599088.html
CLEANT TITLE 2006 SIENNA LE 3 MONTH WARRANTY,2017-09-03 16:46,NOT INDICATED,2006,$5600,5TDZA23C46S444137,gas,170796,6 cylinders,silver,clean,automatic,mini-van,https://sacramento.craigslist.org/ctd/d/cleant-title-2006-sienna-le-3/6291992650.html
2014 Ram 1500 Laramie Loaded 4x4 Must See -CALL FOR APPROVAL ?A,2017-09-03 16:45,ram,2014,$34500,1C6RR7NT3ES419567,other,44126,NOT INDICATED,silver,clean,automatic,truck,https://sacramento.craigslist.org/ctd/d/2014-ram-1500-laramie-loaded/6291991996.html
2008 CHEVY MALIBU CLEAN,2017-09-03 16:45,chevy,2008,$4500,NOT INDICATED,gas,148000,NOT INDICATED,NOT INDICATED,clean,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2008-chevy-malibu-clean/6289096541.html
CLEAN TITLE 2011 KIA OPTIMA  3 month warranty,2017-09-03 16:45,kia,2011,$6850,KNAGM4A79B5170835,gas,147843,4 cylinders,silver,clean,automatic,sedan,https://sacramento.craigslist.org/ctd/d/clean-title-2011-kia-optima-3/6291991883.html
MUST SEE CLEAN VW JETTA TURBO,2017-09-03 16:44,vw,NOT INDICATED,$3400,NOT INDICATED,gas,135000,4 cylinders,silver,clean,manual,sedan,https://sacramento.craigslist.org/cto/d/must-see-clean-vw-jetta-turbo/6287220467.html
2002 Chevrolet Chevy Corvette Convertible 2D,2017-09-03 16:44,NOT INDICATED,2002,$20995,1G1YY32G325115911,other,34411,NOT INDICATED,NOT INDICATED,clean,automatic,convertible,https://sacramento.craigslist.org/ctd/d/2002-chevrolet-chevy-corvette/6291991597.html
01 vw jetta 1.8 turbo,2017-09-03 16:44,vw,2001,$3400,NOT INDICATED,gas,134000,4 cylinders,silver,clean,manual,sedan,https://sacramento.craigslist.org/cto/d/01-vw-jetta-18-turbo/6286288283.html
clean title 2002 toyota celica Gt  3 month warranty,2017-09-03 16:44,toyota,2002,$3499,JTDDR32T520116667,gas,193471,4 cylinders,black,clean,manual,coupe,https://sacramento.craigslist.org/ctd/d/clean-title-2002-toyota/6291991024.html
2010 Ford Mustang V6 Pony Package,2017-09-03 16:43,Ford,2010,$8950,NOT INDICATED,gas,NOT INDICATED,NOT INDICATED,NOT INDICATED,salvage,automatic,NOT INDICATED,https://sacramento.craigslist.org/cto/d/2010-ford-mustang-v6-pony/6271556086.html
2016 Nissan Pathfinder S,2017-09-03 16:43,nissan,2016,$23995,5N1AR2MN2GC652120,gas,11000,6 cylinders,blue,clean,automatic,SUV,https://sacramento.craigslist.org/cto/d/2016-nissan-pathfinder/6291990525.html
